Season,League,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,inning
2013,MLB,20753,0.077097287,0.187828265,0.410466906,0.262972265,0.324802481,0.423876449,0.74867893,0.160904184,0.300515967,2485.120874,210.5920721,0.327731555,106.2261222,4
2013,MLB,20699,0.077201797,0.182279337,0.423535648,0.261684753,0.322803938,0.408187385,0.730991323,0.146502632,0.300207468,2368.254547,99.6441448,0.320683195,101.5014246,5
2013,MLB,20651,0.078446564,0.185317902,0.423308074,0.257102884,0.320204728,0.411536805,0.731741533,0.154433921,0.293661873,2359.40207,96.05246848,0.320314061,101.2896319,6
2013,MLB,20579,0.083288789,0.201321735,0.413709872,0.250448588,0.318531211,0.389048991,0.707580202,0.138600403,0.296386929,2209.111439,-46.34696312,0.311222969,95.0901797,7
2013,MLB,20312,0.082118944,0.215242221,0.381518755,0.239723016,0.307642711,0.369037151,0.676679862,0.129314135,0.289935569,1977.884083,-248.3111187,0.298184839,86.22202303,8
2013,MLB,15540,0.08024453,0.237644787,0.337665854,0.233838672,0.300369386,0.35826659,0.658635976,0.124427918,0.290693029,1418.523937,-284.6600644,0.29046817,80.93158427,9
2013,MLB,4695,0.110330138,0.20085197,0.54931071,0.246616541,0.337491792,0.363659147,0.701150939,0.117042606,0.299260255,469.2640038,-45.3079966,0.303110822,89.94215256,10
2014,MLB,20552,0.077948618,0.193995718,0.401805869,0.256439271,0.318762806,0.397833818,0.716596624,0.141394547,0.299023396,2337.330119,127.9900822,0.318177018,102.4071713,1
2014,MLB,20154,0.070358241,0.207899176,0.338424821,0.247707924,0.305742989,0.384086444,0.689829433,0.13637852,0.294699338,2097.105324,-69.44971162,0.306418916,94.08193657,2
2014,MLB,20252,0.070560932,0.197560734,0.357160709,0.251889168,0.310064368,0.37794327,0.688007638,0.126054102,0.299294016,2090.606693,-86.48334299,0.305615551,93.3271115,3
2014,MLB,20638,0.072390735,0.190183157,0.380636942,0.261130136,0.319048315,0.406678082,0.725726397,0.145547946,0.302542019,2368.885857,150.3008205,0.320459374,103.7372726,4
2014,MLB,20620,0.072696411,0.187778855,0.387138429,0.259906446,0.318649549,0.406204634,0.724854183,0.146298188,0.301712138,2355.466357,138.8163201,0.319678842,103.2971976,5
2014,MLB,20718,0.075489912,0.191862148,0.393459119,0.258840548,0.320807845,0.399967852,0.720775697,0.141127304,0.302528031,2352.936087,125.7510504,0.318256824,102.4572484,6
2014,MLB,20606,0.079734058,0.203096185,0.392592592,0.249336151,0.31533118,0.382268465,0.697599645,0.132932314,0.297508234,2192.292651,-22.85238592,0.308704608,95.93327513,7
2014,MLB,20311,0.080990596,0.225247402,0.359562841,0.236460507,0.305149427,0.356091398,0.661240825,0.119630891,0.292827193,1934.488464,-248.944072,0.294153117,85.88842581,8
2014,MLB,15615,0.080755683,0.240473903,0.335818908,0.235164208,0.302094747,0.361330768,0.663425515,0.12616656,0.294604567,1490.561463,-188.0510648,0.294464521,86.17053013,9
