Year,Name,Nameco,lg,Tm,Vote Pts,1st Place,Share,WAR,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
2002,Derek Lowe,lowede01,AL,BOS,3,0,1%,7.3,21,8,2.58,0.974,32,32,0,219.2,166,12,48,127
2002,Pedro Martinez,martipe02,AL,BOS,1,0,0%,6.4,20,4,2.26,0.923,30,30,0,199.1,144,13,40,239
2017,Max Scherzer,scherma01,NL,WSN,34,0,8%,7.4,16,6,2.51,0.902,31,31,0,200.2,126,22,55,268
2017,Kenley Jansen,janseke01,NL,LAD,8,0,2%,3.1,5,0,1.32,0.746,65,0,41,68.1,44,5,7,109
2017,Clayton Kershaw,kershcl01,NL,LAD,6,0,1%,5.2,18,4,2.31,0.949,27,27,0,175,136,23,30,202
2017,Archie Bradley,bradlar01,NL,ARI,1,0,0%,3.7,3,3,1.73,1.041,63,0,1,73,55,4,21,79
2017,Zack Greinke,greinza01,NL,ARI,1,0,0%,6.4,17,7,3.2,1.072,32,32,0,202.1,172,25,45,215
2016,Max Scherzer,scherma01,NL,WSN,39,0,9%,6.5,20,7,2.96,0.968,34,34,0,228.1,165,31,56,284
2016,Madison Bumgarner,bumgama01,NL,SFG,7,0,2%,5.7,15,9,2.74,1.028,34,34,0,226.2,179,26,54,251
2016,Jeurys Familia,familje01,NL,NYM,6,0,1%,1.8,3,4,2.55,1.21,78,0,51,77.2,63,1,31,84
2016,Noah Syndergaard,syndeno01,NL,NYM,5,0,1%,5.8,14,9,2.6,1.149,31,30,0,183.2,168,11,43,218
2016,Kyle Hendricks,hendrky01,NL,CHC,2,0,0%,5.2,16,8,2.13,0.979,31,30,0,190,142,15,44,170
2016,Johnny Cueto,cuetojo01,NL,SFG,1,0,0%,5.3,18,5,2.79,1.093,32,32,0,219.2,195,15,45,198
2015,Jake Arrieta,arrieja01,NL,CHC,134,0,32%,8.6,22,6,1.77,0.865,33,33,0,229,150,10,48,236
2015,Zack Greinke,greinza01,NL,LAD,130,0,31%,9.7,19,3,1.66,0.844,32,32,0,222.2,148,14,40,200
2015,Clayton Kershaw,kershcl01,NL,LAD,49,0,12%,7.5,16,7,2.13,0.881,33,33,0,232.2,163,15,42,301
2015,Trevor Rosenthal,rosentr01,NL,STL,5,0,1%,2.6,2,4,2.1,1.267,68,0,48,68.2,62,3,25,83
2015,Gerrit Cole,colege01,NL,PIT,3,0,1%,4.7,19,8,2.6,1.091,32,32,0,208,183,11,44,202
2014,Clayton Kershaw,kershcl01,NL,LAD,355,18,85%,8.2,21,3,1.77,0.857,27,27,0,198.1,139,9,31,239
2014,Adam Wainwright,wainwad01,NL,STL,53,0,13%,6.4,20,9,2.38,1.031,32,32,0,227,184,10,50,179
2014,Johnny Cueto,cuetojo01,NL,CIN,22,0,5%,6.8,20,9,2.25,0.96,34,34,0,243.2,169,22,65,242
2013,Clayton Kershaw,kershcl01,NL,LAD,146,0,35%,8.5,16,9,1.83,0.915,33,33,0,236,164,11,52,232
2013,Craig Kimbrel,kimbrcr01,NL,ATL,27,0,6%,3.1,4,3,1.21,0.881,68,0,50,67,39,4,20,98
2013,Adam Wainwright,wainwad01,NL,STL,3,0,1%,6.4,19,9,2.94,1.068,34,34,0,241.2,223,15,35,219
2012,Craig Kimbrel,kimbrcr01,NL,ATL,73,0,16%,3.2,3,1,1.01,0.654,63,0,42,62.2,27,3,14,116
2012,Aroldis Chapman,chapmar01,NL,CIN,20,0,4%,3.4,5,5,1.51,0.809,68,0,38,71.2,35,4,23,122
2012,R.A. Dickey,dicker.01,NL,NYM,16,0,4%,5.7,20,6,2.73,1.053,34,33,0,233.2,192,24,54,230
2012,Clayton Kershaw,kershcl01,NL,LAD,15,0,3%,6.8,14,9,2.53,1.023,33,33,0,227.2,170,16,63,229
2012,Gio Gonzalez,gonzagi01,NL,WSN,8,0,2%,4.8,21,8,2.89,1.129,32,32,0,199.1,149,9,76,207
2012,Kris Medlen,medlekr01,NL,ATL,8,0,2%,4.5,10,1,1.57,0.913,50,12,1,138,103,6,23,120
2012,Johnny Cueto,cuetojo01,NL,CIN,2,0,0%,4.8,19,9,2.78,1.171,33,33,0,217,205,15,49,170
2011,Roy Halladay,hallaro01,NL,PHI,52,0,12%,8.6,19,6,2.35,1.04,32,32,0,233.2,208,10,35,220
2011,Clayton Kershaw,kershcl01,NL,LAD,29,0,6%,7.4,21,5,2.28,0.977,33,33,0,233.1,174,15,54,248
2011,Ian Kennedy,kenneia01,NL,ARI,16,0,4%,4.8,21,4,2.88,1.086,33,33,0,222,186,19,55,198
2011,Cliff Lee,leecl02,NL,PHI,12,0,3%,8.9,17,8,2.4,1.027,32,32,0,232.2,197,18,42,238
2011,John Axford,axforjo01,NL,MIL,7,0,2%,2.3,2,2,1.95,1.14,74,0,46,73.2,59,4,25,86
2011,Craig Kimbrel,kimbrcr01,NL,ATL,1,0,0%,2.4,4,3,2.1,1.039,79,0,46,77,48,3,32,127
2010,Roy Halladay,hallaro01,NL,PHI,130,0,29%,8.3,21,10,2.44,1.041,33,33,0,250.2,231,24,30,219
2010,Brian Wilson,wilsobr01,NL,SFG,28,0,6%,2.7,3,3,1.81,1.179,70,0,48,74.2,62,3,26,93
2010,Adam Wainwright,wainwad01,NL,STL,12,0,3%,6.4,20,11,2.42,1.051,33,33,0,230.1,186,15,56,213
2010,Ubaldo Jimenez,jimenub01,NL,COL,7,0,2%,7.3,19,8,2.88,1.155,33,33,0,221.2,164,10,92,214
2010,Heath Bell,bellhe01,NL,SDP,2,0,0%,1.9,6,1,1.93,1.2,67,0,47,70,56,1,28,86
2010,Josh Johnson,johnsjo09,NL,FLA,2,0,0%,6.6,11,6,2.3,1.105,28,28,0,183.2,155,7,48,186
2009,Chris Carpenter,carpech01,NL,STL,25,0,6%,6.8,17,4,2.24,1.007,28,28,0,192.2,156,7,38,144
2009,Adam Wainwright,wainwad01,NL,STL,16,0,4%,6.7,19,8,2.63,1.21,34,34,0,233,216,17,66,212
2009,Tim Lincecum,linceti01,NL,SFG,8,0,2%,7.4,15,7,2.48,1.047,32,32,0,225.1,168,10,68,261
2009,Huston Street,streehu01,NL,COL,2,0,0%,1.8,4,1,3.06,0.908,64,0,35,61.2,43,7,13,70
2009,Jeremy Affeldt,affelje01,NL,SFG,1,0,0%,2.6,2,2,1.73,1.171,74,0,0,62.1,42,3,31,55
2008,CC Sabathia,sabatc.01,NL,MIL,121,0,27%,5.2,11,2,1.65,1.003,17,17,0,130.2,106,6,25,128
2008,Brad Lidge,lidgebr01,NL,PHI,104,2,23%,2.4,2,0,1.95,1.226,72,0,41,69.1,50,2,35,92
2008,Johan Santana,santajo02,NL,NYM,30,0,7%,7.1,16,7,2.53,1.148,34,34,0,234.1,206,23,63,206
2008,Brandon Webb,webbbr01,NL,ARI,14,0,3%,5.5,22,7,3.3,1.196,34,34,0,226.2,206,13,65,183
2008,Tim Lincecum,linceti01,NL,SFG,9,0,2%,8,18,5,2.62,1.172,34,33,0,227,182,11,84,265
2008,Jose Valverde,valvejo01,NL,HOU,3,0,1%,1.3,6,3,3.38,1.181,74,0,44,72,62,10,23,83
2007,Jake Peavy,peavyja01,NL,SDP,97,0,22%,6.8,19,6,2.54,1.061,34,34,0,223.1,169,13,68,240
2007,Jose Valverde,valvejo01,NL,ARI,19,0,4%,2.2,1,4,2.66,1.119,65,0,47,64.1,46,7,26,78
2007,Brandon Webb,webbbr01,NL,ARI,15,0,3%,5.9,18,10,3.01,1.189,34,34,0,236.1,209,12,72,194
2007,Carlos Marmol,marmoca01,NL,CHC,1,0,0%,2.9,5,1,1.43,1.096,59,0,1,69.1,41,3,35,96
2006,Trevor Hoffman,hoffmtr01,NL,SDP,46,0,10%,2.1,0,2,2.14,0.968,65,0,46,63,48,6,13,50
2006,Chris Carpenter,carpech01,NL,STL,4,0,1%,4.9,15,8,3.09,1.069,32,32,0,221.2,194,21,43,184
2006,Bronson Arroyo,arroybr01,NL,CIN,1,0,0%,7,14,11,3.29,1.188,35,35,0,240.2,222,31,64,184
2005,Chris Carpenter,carpech01,NL,STL,52,0,12%,5.4,21,5,2.83,1.055,33,33,0,241.2,204,18,51,213
2005,Dontrelle Willis,willido03,NL,FLA,42,0,9%,8.3,22,10,2.63,1.134,34,34,0,236.1,213,11,55,170
2005,Chad Cordero,cordech01,NL,WSN,21,0,5%,2,2,4,1.82,0.969,74,0,47,74.1,55,9,17,61
2005,Trevor Hoffman,hoffmtr01,NL,SDP,19,0,4%,0.6,1,6,2.97,1.11,60,0,43,57.2,52,3,12,54
2005,Roger Clemens,clemero02,NL,HOU,8,0,2%,8.2,13,8,1.87,1.008,32,32,0,211.1,151,11,62,185
2005,Roy Oswalt,oswalro01,NL,HOU,6,0,1%,5.9,20,12,2.94,1.204,35,35,0,241.2,243,18,48,184
2005,Andy Pettitte,pettian01,NL,HOU,5,0,1%,6.2,17,9,2.39,1.03,33,33,0,222.1,188,17,41,171
2005,Scott Eyre,eyresc01,NL,SFG,1,0,0%,2.3,2,2,2.63,1.083,86,0,0,68.1,48,3,26,65
2005,Brad Lidge,lidgebr01,NL,HOU,1,0,0%,2,4,4,2.29,1.146,70,0,42,70.2,58,5,23,103
2004,Roger Clemens,clemero02,NL,HOU,61,0,14%,5.4,18,4,2.98,1.157,33,33,0,214.1,169,15,79,218
2004,Eric Gagne,gagneer01,NL,LAD,30,0,7%,2.2,7,3,2.19,0.911,70,0,45,82.1,53,5,22,114
2004,Randy Johnson,johnsra05,NL,ARI,7,0,2%,8.2,16,14,2.6,0.9,35,35,0,245.2,177,18,44,290
2004,John Smoltz,smoltjo01,NL,ATL,6,0,1%,2.1,0,1,2.76,1.078,73,0,44,81.2,75,8,13,85
2004,Armando Benitez,benitar01,NL,FLA,3,0,1%,3.4,2,2,1.29,0.818,64,0,47,69.2,36,6,21,62
2004,Roy Oswalt,oswalro01,NL,HOU,3,0,1%,3.8,20,10,3.49,1.245,36,35,0,237,233,17,62,206
2004,Carlos Zambrano,zambrca01,NL,CHC,2,0,0%,7.3,16,8,2.75,1.216,31,31,0,209.2,174,14,81,188
2003,Eric Gagne,gagneer01,NL,LAD,143,0,32%,3.7,2,3,1.2,0.692,77,0,55,82.1,37,2,20,137
2003,Mark Prior,priorma01,NL,CHC,44,0,10%,7.9,18,6,2.43,1.103,30,30,0,211.1,183,15,50,245
2003,John Smoltz,smoltjo01,NL,ATL,9,0,2%,3.2,0,2,1.12,0.87,62,0,45,64.1,48,2,8,73
2003,Jason Schmidt,schmija01,NL,SFG,7,0,2%,6,17,5,2.34,0.953,29,29,0,207.2,152,14,46,208
2003,Billy Wagner,wagnebi02,NL,HOU,5,0,1%,3.4,1,4,1.78,0.872,78,0,44,86,52,8,23,105
2003,Russ Ortiz,ortizru01,NL,ATL,3,0,1%,3.2,21,7,3.81,1.314,34,34,0,212.1,177,17,102,149
2003,Dontrelle Willis,willido03,NL,FLA,1,0,0%,4.4,14,6,3.3,1.282,27,27,0,160.2,148,13,58,142
2002,Randy Johnson,johnsra05,NL,ARI,127,0,28%,10.5,24,5,2.32,1.031,35,35,0,260,197,26,71,334
2002,John Smoltz,smoltjo01,NL,ATL,124,0,28%,1.2,3,2,3.25,1.033,75,0,55,80.1,59,4,24,85
2002,Curt Schilling,schilcu01,NL,ARI,53,0,12%,8.5,23,7,3.23,0.968,36,35,0,259.1,218,29,33,316
2002,Eric Gagne,gagneer01,NL,LAD,44,0,10%,2.9,4,1,1.97,0.862,77,0,52,82.1,55,6,16,114
2002,Roy Oswalt,oswalro01,NL,HOU,1,0,0%,6.9,19,9,3.01,1.189,35,34,0,233,215,17,62,208
